lat,lon,PSurf_autumn,PSurf_spring,PSurf_summer,PSurf_winter,Qair_autumn,Qair_spring,Qair_summer,Qair_winter,Rainf_autumn,Rainf_spring,Rainf_summer,Rainf_winter,Snowf_autumn,Snowf_spring,Snowf_summer,Snowf_winter,Tair_autumn,Tair_spring,Tair_summer,Tair_winter,Wind_autumn,Wind_spring,Wind_summer,Wind_winter,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
19.25,3.25,95591.27,95491.24,95414.82,96042.625,0.0050242995,0.003643927,0.00883323,0.0024667645,7.943847e-07,3.868987e-07,6.9014372e-06,0.0,0.0,0.0,0.0,0.0,302.4833,302.71664,306.21667,293.81665,3.6738539,4.429609,3.824415,4.321751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.25,3.75,96111.15,96009.664,95928.086,96583.88,0.0048963237,0.0035728582,0.008699693,0.0024426316,8.6963263e-07,2.579325e-07,7.767377e-06,0.0,0.0,0.0,0.0,0.0,302.4833,302.8832,306.1835,293.95,3.6842232,4.4073615,3.7987394,4.3544364,49.2,42.4,26.0,27.9,24.8,29.3,7.7,7.8,0.33,0.23,0.1,0.06,96.0,96.0,8.7,7.9,66.0,50.0,13.1,22.1,1.5,1.4,8.0,11.0
19.25,4.25,95988.38,95885.13,95806.32,96457.37,0.0048801904,0.003559459,0.0086245015,0.0024638188,9.195965e-07,0.0,8.236265e-06,0.0,0.0,0.0,0.0,0.0,302.51663,303.05002,306.18332,294.01663,3.7384443,4.399052,3.7985828,4.4120936,49.2,42.4,26.0,27.9,24.8,29.3,7.7,7.8,0.33,0.23,0.1,0.06,96.0,96.0,8.7,7.9,66.0,50.0,13.1,22.1,1.5,1.4,8.0,11.0
19.75,3.25,94725.07,94629.0,94548.34,95154.375,0.0046483614,0.00344151,0.008053822,0.0023550633,4.3378793e-07,4.2578998e-07,6.024367e-06,0.0,0.0,0.0,0.0,0.0,301.84995,301.95004,306.0835,293.0834,3.7984154,4.6410728,3.870055,4.362113,29.45,28.0,8.1,8.5,12.45,13.5,3.55,3.6,0.485,0.2,0.065,0.01,34.5,45.0,5.2,4.0,27.5,14.0,0.05,0.25,0.6,0.75,5.5,4.0
19.75,3.75,95319.44,95220.16,95128.875,95772.4,0.0045714043,0.0033763302,0.007793592,0.0023539008,3.758245e-07,2.3189892e-07,5.560814e-06,0.0,0.0,0.0,0.0,0.0,301.9501,302.11682,305.9833,293.21664,3.7896335,4.5670595,3.7923956,4.432861,29.45,28.0,8.1,8.5,12.45,13.5,3.55,3.6,0.485,0.2,0.065,0.01,34.5,45.0,5.2,4.0,27.5,14.0,0.05,0.25,0.6,0.75,5.5,4.0
19.75,4.25,95577.43,95475.54,95379.625,96043.414,0.004574619,0.0033642568,0.007674812,0.0024039561,6.141004e-07,1.029596e-07,5.760187e-06,0.0,0.0,0.0,0.0,0.0,302.0167,302.31668,305.98328,293.38342,3.804857,4.509977,3.7555904,4.435316,49.2,42.4,26.0,27.9,24.8,29.3,7.7,7.8,0.33,0.23,0.1,0.06,96.0,96.0,8.7,7.9,66.0,50.0,13.1,22.1,1.5,1.4,8.0,11.0
19.75,4.75,95794.35,95689.305,95593.47,96266.53,0.0046283733,0.0033879818,0.007737629,0.002441412,5.2665024e-07,0.0,6.2954364e-06,0.0,0.0,0.0,0.0,0.0,302.2167,302.68326,306.14993,293.6165,3.8553607,4.5094514,3.7396622,4.5805936,29.45,28.0,8.1,8.5,12.45,13.5,3.55,3.6,0.485,0.2,0.065,0.01,34.5,45.0,5.2,4.0,27.5,14.0,0.05,0.25,0.6,0.75,5.5,4.0
19.75,5.25,95798.28,95688.914,95599.15,96266.96,0.004750242,0.0034392031,0.007970935,0.0024906243,1.6587148e-07,0.0,6.8604336e-06,0.0,0.0,0.0,0.0,0.0,302.64996,303.21664,306.55,293.91678,3.8654041,4.486242,3.7414854,4.735706,29.45,28.0,8.1,8.5,12.45,13.5,3.55,3.6,0.485,0.2,0.065,0.01,34.5,45.0,5.2,4.0,27.5,14.0,0.05,0.25,0.6,0.75,5.5,4.0
19.75,5.75,95782.26,95670.38,95585.625,96249.46,0.0047260686,0.0034072932,0.007923608,0.0024734254,2.417473e-07,0.0,6.483447e-06,0.0,0.0,0.0,0.0,0.0,302.5166,303.21658,306.45013,293.7499,3.8278105,4.397219,3.7685719,4.71793,29.45,28.0,8.1,8.5,12.45,13.5,3.55,3.6,0.485,0.2,0.065,0.01,34.5,45.0,5.2,4.0,27.5,14.0,0.05,0.25,0.6,0.75,5.5,4.0
20.25,2.75,93023.41,92929.28,92864.69,93384.98,0.004430882,0.0032664381,0.007556567,0.0022132385,1.1715662e-06,1.0201478e-06,7.5334115e-06,0.0,0.0,0.0,0.0,0.0,300.98343,300.64996,305.58325,291.84995,3.7618523,4.752218,4.0703177,4.386372,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.25,3.25,92833.0,92740.23,92671.02,93199.29,0.004382911,0.003269396,0.0073046926,0.0022606468,4.0225072e-07,8.460435e-07,6.1593546e-06,0.0,0.0,0.0,0.0,0.0,300.75006,300.61667,305.35,291.7499,3.7540033,4.737249,3.9478276,4.3859897,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.25,3.75,92861.445,92766.57,92694.88,93238.71,0.0043355445,0.003215882,0.0070814206,0.0022928852,0.0,4.898735e-07,6.2872355e-06,0.0,0.0,0.0,0.0,0.0,300.6832,300.7169,305.21677,291.8501,3.8218987,4.711015,3.8960502,4.429722,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.25,4.25,94595.75,94495.31,94391.086,95040.73,0.004574864,0.0033540586,0.007213685,0.0024993436,0.0,0.0,5.4130164e-06,0.0,0.0,0.0,0.0,0.0,301.65,301.8168,305.94998,292.88336,3.718619,4.5116415,3.733236,4.214372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
