lat,lon,PSurf_autumn,PSurf_spring,PSurf_summer,PSurf_winter,Qair_autumn,Qair_spring,Qair_summer,Qair_winter,Rainf_autumn,Rainf_spring,Rainf_summer,Rainf_winter,Snowf_autumn,Snowf_spring,Snowf_summer,Snowf_winter,Tair_autumn,Tair_spring,Tair_summer,Tair_winter,Wind_autumn,Wind_spring,Wind_summer,Wind_winter,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
24.25,-3.25,97867.29,97717.4,97419.305,98426.25,0.005525458,0.004357233,0.0048743044,0.0037134576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.78336,300.81665,308.75003,291.24997,4.103669,4.657654,4.311025,4.7526517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.25,-2.75,98015.6,97863.48,97560.76,98579.086,0.0054388866,0.004270242,0.0048054457,0.0036639066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.8167,300.81662,308.81665,291.15002,4.0847507,4.6592994,4.21798,4.7458024,49.04,45.4,26.22,27.78,24.78,26.56,7.42,7.54,0.556,0.426,0.1119999999999999,0.066,89.0,93.4,10.68,8.66,60.8,44.0,8.66,13.68,1.34,1.32,8.8,9.6
24.25,-2.25,97854.125,97700.125,97403.07,98407.75,0.005416373,0.0042783925,0.004834363,0.0036440354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.85016,300.74997,308.85007,291.05002,4.0896525,4.6285386,4.082339,4.766648,49.04,45.4,26.22,27.78,24.78,26.56,7.42,7.54,0.556,0.426,0.1119999999999999,0.066,89.0,93.4,10.68,8.66,60.8,44.0,8.66,13.68,1.34,1.32,8.8,9.6
24.25,-1.75,97659.27,97503.35,97214.125,98202.4,0.0053261146,0.004218786,0.0048584426,0.003554358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.81668,300.54993,308.81662,290.85007,4.1156363,4.642937,4.105471,4.7437477,49.04,45.4,26.22,27.78,24.78,26.56,7.42,7.54,0.556,0.426,0.1119999999999999,0.066,89.0,93.4,10.68,8.66,60.8,44.0,8.66,13.68,1.34,1.32,8.8,9.6
24.75,-4.25,97714.26,97557.59,97270.81,98273.23,0.0052094036,0.0042683408,0.004412005,0.0035123036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.41672,300.71667,308.51675,291.05005,3.968036,4.6247,4.446999,4.612282,49.04,45.4,26.22,27.78,24.78,26.56,7.42,7.54,0.556,0.426,0.1119999999999999,0.066,89.0,93.4,10.68,8.66,60.8,44.0,8.66,13.68,1.34,1.32,8.8,9.6
24.75,-3.75,97706.21,97546.15,97255.93,98264.49,0.005286395,0.004254207,0.004438355,0.0035683152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.5166,300.68332,308.6167,290.98337,4.021543,4.6922345,4.4021945,4.6605616,49.04,45.4,26.22,27.78,24.78,26.56,7.42,7.54,0.556,0.426,0.1119999999999999,0.066,89.0,93.4,10.68,8.66,60.8,44.0,8.66,13.68,1.34,1.32,8.8,9.6
24.75,-3.25,97710.48,97547.6,97255.69,98267.914,0.0053968285,0.004284917,0.0045051747,0.0036499125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.58328,300.61667,308.71667,290.88327,4.0831275,4.7774863,4.3838387,4.7174726,49.04,45.4,26.22,27.78,24.78,26.56,7.42,7.54,0.556,0.426,0.1119999999999999,0.066,89.0,93.4,10.68,8.66,60.8,44.0,8.66,13.68,1.34,1.32,8.8,9.6
24.75,-2.75,97768.48,97605.555,97309.88,98326.27,0.0054750727,0.0043546334,0.004587431,0.0037168756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.6167,300.68332,308.8168,290.81656,4.0839953,4.7727704,4.3336387,4.764995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.75,-2.25,97722.31,97558.51,97264.16,98275.96,0.005507828,0.004382407,0.004667936,0.0037540693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.65012,300.61658,308.91663,290.78336,4.0555367,4.6927013,4.23178,4.7492566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.75,-1.75,97824.79,97660.875,97363.72,98380.94,0.0054258755,0.004310327,0.004645725,0.003691233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.58337,300.44998,308.84985,290.61673,4.033356,4.636713,4.1585917,4.6784363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
